Title,Category,Description,Unit,Contact,Owner,Website,Affiliation,Status,Fee
3D Scanning-as-a-Service,"[""Acquisition""]","To support remote teaching and learning, the Digital Scholarship Program and Digital Imaging have partnered to test 3D-scanning-as-a-service. By producing interactive digital surrogates of objects, artifacts, and specimens that would have previously required onsite access, Harvard Library is providing students and instructors to engage with collections material online.
 Cost of service subject to review.",Harvard Library Digital Scholarship Program,matt_cook@harvard.edu,HL Digital Scholarship Program Manager,https://library.harvard.edu/services-tools/teaching-and-learning-3d-content,"[""FAS"",""HGSE"",""GSD"",""HBS"",""HLS"",""HKS"",""HMS"",""HSDM"",""HSPH"",""SEAS""]","[""Faculty"",""Staff"",""Graduate Students"",""Undergraduates""]",Other
3D Scanning-as-a-Service Support,"[""Acquisition""]","The HL Digital Scholarship program provides consultative support of remote teaching and learning for the 3D-scanning-as-a-service. By producing interactive digital surrogates of objects, artifacts, and specimens that would have previously required onsite access, Harvard Library is providing students and instructors to engage with collections material online.",Harvard Library Digital Scholarship Program,matt_cook@harvard.edu,HL Digital Scholarship Program Manager,https://library.harvard.edu/services-tools/teaching-and-learning-3d-content,"[""FAS"",""HGSE"",""GSD"",""HBS"",""HLS"",""HKS"",""HMS"",""HSDM"",""HSPH"",""SEAS""]","[""Faculty"",""Staff"",""Graduate Students"",""Undergraduates""]",No Cost
Biodiversity Heritage Library,"[""Acquisition""]","The Biodiversity Heritage Library (BHL) is the world‚Äôs largest open access digital library for biodiversity literature and archives. BHL is revolutionizing global research by providing free, worldwide access to knowledge about life on Earth.
 
 BHL operates as a worldwide consortium of natural history, botanical, research, and national libraries working together to address this challenge by digitizing the natural history literature held in their collections and making it freely available for open access as part of a global ‚Äúbiodiversity community.‚Äù
 
 The BHL portal provides free access to hundreds of thousands of volumes, comprising over 58 million pages, from the 15th-21st centuries. In addition to public domain content, BHL works with rights holders to obtain permission to make in-copyright materials openly available under Creative Commons licenses.",Ernst Mayr Library of the Museum of Comparative Zoology,mayrlib@oeb.harvard.edu,Ernst Mayr Library,https://www.biodiversitylibrary.org/,"[""Public""]","[""Faculty"",""Staff"",""Graduate Students"",""Undergraduates""]",No Cost
Buying and Licensing Data,"[""Acquisition""]","If the data you need requires a Data Use Agreement, or a purchase out of your research budget, Baker can facilitate that process. We can help reach deals for best possible pricing and negotiate favorable license terms, in partnership with the Office for Sponsored Programs. We will work with you from the initial contact with data providers all the way through to contract negotiation and payment.",Baker Library,"Katherine McNeill, Research Data Program Manager and Collections Librarian
 kmcneill@hbs.edu",Katherine McNeill,https://www.library.hbs.edu/Services/Buying-and-Licensing-Data,"[""HBS""]","[""Faculty""]",Yes
Buying and Licensing Data,"[""Acquisition""]","Purchasing data, and negotiating licenses for data provided by vendors",Frances Loeb Library,"Bruce Boucek %26 Michelle Baildon; bboucek@gsd.harvard.edu, mbaildon@gsd.harvard.edu",Bruce Boucek,https://www.gsd.harvard.edu/frances-loeb-library/,"[""GSD""]","[""Faculty""]",No cost
Buying and Licensing Data,"[""Acquisition""]","Services performed on behalf of client associated with obtaining licenses for research data, purchasing data, and/or creating data use agreements.",Harvard Kennedy School Library,library_research@hks.harvard.edu,Christina Sirois,https://guides.library.harvard.edu/hks/data_resources,"[""HKS""]","[""Faculty"",""Staff"",""Graduate Students""]",Yes
Buying and Licensing Data,"[""Acquisition""]",Arevik Avedian (Empirical Research Services) provides full services to faculty for purchasing data and negotiating licenses for data provided by vendors,Harvard Law School Library,"Arevik Avedian, aavedian@law.harvard.edu; Michelle Pearse, mpearse@law.harvard.edu","Empirical Research Services, Research Services",https://hls.harvard.edu/library/empirical-research-services/; http://asklib.law.harvard.edu,"[""HLS""]","[""Faculty""]",No cost
Buying and Licensing Data Support,"[""Acquisition""]",We offer consultations to help researchers and other library staff identify data and coordinate with bibliographers and collection development librarians on possible purchases.,"Harvard College Library, Services for Academic Programs (SAP)",Hugh Truslow and Diane Sredl <govdocs@fas.harvard.edu>,Hugh Truslow and Diane Sredl,https://library.harvard.edu/collections/data-and-government-information-collections,"[""FAS; HGSE; GSD; HBS; HLS; HKS; HMS; HSDM; HSPH; SEAS""]","[""Faculty; Staff; Graduate Students; Undergraduates""]",No cost
Buying and Licensing Data Support,"[""Acquisition""]",We are focused on support for teaching and research in the general social sciences and humanities. We provide resources for the acquisition and licensing of data while building collections support for research and teaching in the general social sciences and humanities in the Faculty of Arts and Sciences at Harvard.,"Americas, Europe, and Oceania Division (AEOD) of the Harvard College Library",Carol Chiodo carol_chiodo@harvard.edu,Carol Chiodo,https://aeod.library.harvard.edu/,"[""FAS; HGSE; GSD; HBS; HLS; HKS; HMS; HSDM; HSPH; SEAS""]","[""Faculty; Staff; Graduate Students; Undergraduates""]",No Cost
Buying and Licensing Data Support,"[""Acquisition""]",We provide consultations on Buying and Licensing data.,Baker Library,"Katherine McNeill, Research Data Program Manager and Collections Librarian
 kmcneill@hbs.edu",Katherine McNeill,https://www.library.hbs.edu/Services/Buying-and-Licensing-Data,"[""HBS""]","[""Graduate Students""]",No Cost
Buying and Licensing Data Support,"[""Acquisition""]",Consultations and referrals about licensing data,Gutman Library,Rebecca Martin (rebecca_martin@gse.harvard.edu),Rebecca Martin,,"[""HGSE""]","[""Faculty; Staff; Graduate Students; Undergraduates""]",No cost
Buying and Licensing Data Support,"[""Acquisition""]","Consultation and/or instruction associated with obtaining licenses for research data, purchasing data, and/or creating data use agreements.",Harvard Kennedy School Library,library_research@hks.harvard.edu,Christina Sirois,https://guides.library.harvard.edu/hks/data_resources,"[""HKS""]","[""Faculty; Staff; Graduate Students""]",No cost
